X,Y,exp_id,A1,A2,A3,A4,A5,A6
10,6,0,-64,-64,-61,-59,-59,-55
10,6,1,-60,-60,-57,-55,-55,-51
10,6,2,-62,-61,-58,-56,-57,-53
10,6,3,-66,-66,-63,-61,-61,-57
10,6,4,-64,-64,-61,-59,-59,-55
2,10,0,-63,-50,-64,-65,-53,-61
2,10,1,-70,-56,-70,-71,-59,-67
2,10,2,-65,-51,-65,-67,-54,-63
2,10,3,-61,-47,-61,-63,-50,-59
2,10,4,-65,-52,-66,-67,-55,-63
4,8,0,-63,-57,-62,-64,-54,-60
4,8,1,-65,-59,-64,-62,-53,-62
4,8,2,-67,-61,-66,-68,-55,-64
4,8,3,-59,-53,-58,-60,-48,-56
4,8,4,-60,-54,-59,-61,-48,-57
8,0,0,-63,-67,-54,-51,-65,-65
8,0,1,-67,-71,-59,-55,-69,-69
8,0,2,-68,-73,-60,-57,-71,-70
8,0,3,-63,-67,-56,-51,-65,-65
8,0,4,-68,-72,-59,-56,-70,-70
4,4,0,-57,-58,-54,-58,-57,-60
4,4,1,-61,-62,-57,-62,-61,-64
4,4,2,-59,-60,-55,-60,-58,-61
4,4,3,-65,-66,-61,-66,-65,-67
4,4,4,-67,-69,-64,-69,-68,-70
2,6,0,-61,-58,-61,-64,-59,-63
2,6,1,-56,-54,-57,-60,-54,-59
2,6,2,-60,-57,-60,-63,-58,-63
2,6,3,-70,-67,-67,-74,-68,-73
2,6,4,-63,-60,-63,-67,-61,-66
6,0,0,-60,-66,-44,-59,-64,-65
6,0,1,-59,-64,-44,-55,-62,-64
6,0,2,-58,-63,-43,-54,-62,-66
6,0,3,-61,-68,-47,-59,-67,-67
6,0,4,-63,-69,-48,-60,-67,-68
4,10,0,-72,-63,-71,-73,-52,-67
4,10,1,-62,-55,-62,-63,-43,-57
4,10,2,-62,-55,-63,-64,-43,-58
4,10,3,-60,-52,-60,-61,-40,-55
4,10,4,-66,-58,-66,-67,-46,-61
0,6,0,-64,-60,-66,-69,-64,-69
0,6,1,-67,-62,-68,-72,-66,-71
0,6,2,-57,-56,-65,-64,-59,-63
0,6,3,-62,-59,-64,-68,-63,-67
0,6,4,-57,-54,-59,-63,-58,-62
2,4,0,-53,-56,-54,-59,-56,-60
2,4,1,-61,-64,-62,-67,-65,-68
2,4,2,-58,-61,-59,-64,-61,-65
2,4,3,-58,-61,-59,-64,-62,-65
2,4,4,-61,-64,-62,-67,-65,-68
0,4,0,-54,-58,-58,-63,-60,-63
0,4,1,-55,-58,-58,-63,-60,-64
0,4,2,-60,-63,-64,-68,-65,-69
0,4,3,-57,-61,-61,-66,-63,-66
0,4,4,-58,-62,-62,-67,-64,-68
8,8,0,-67,-64,-65,-64,-57,-55
8,8,1,-70,-67,-67,-67,-60,-58
8,8,2,-66,-63,-63,-63,-56,-54
8,8,3,-63,-60,-60,-60,-53,-51
8,8,4,-66,-63,-63,-63,-56,-54
6,8,0,-64,-60,-62,-63,-53,-57
6,8,1,-61,-57,-59,-60,-48,-54
6,8,2,-63,-59,-61,-64,-50,-56
6,8,3,-68,-64,-63,-67,-55,-61
6,8,4,-67,-63,-66,-66,-55,-60
4,0,0,-60,-70,-50,-65,-70,-71
4,0,1,-60,-68,-49,-64,-69,-70
4,0,2,-58,-66,-47,-61,-66,-67
4,0,3,-53,-62,-43,-57,-61,-62
4,0,4,-55,-64,-44,-59,-63,-64
6,2,0,-65,-69,-56,-62,-67,-68
6,2,1,-63,-67,-54,-60,-65,-62
6,2,2,-60,-64,-51,-57,-62,-63
6,2,3,-60,-64,-51,-57,-62,-63
6,2,4,-58,-62,-49,-55,-60,-61
8,10,0,-72,-68,-70,-70,-60,-56
8,10,1,-68,-64,-71,-69,-56,-52
8,10,2,-69,-65,-67,-67,-56,-53
8,10,3,-71,-67,-69,-69,-59,-55
8,10,4,-65,-61,-63,-63,-53,-49
6,10,0,-71,-65,-70,-70,-50,-62
6,10,1,-62,-56,-60,-61,-41,-53
6,10,2,-67,-62,-66,-67,-47,-58
6,10,3,-62,-56,-61,-61,-41,-53
6,10,4,-64,-59,-63,-64,-44,-55
2,2,0,-54,-63,-56,-63,-64,-66
2,2,1,-59,-69,-61,-64,-69,-71
2,2,2,-54,-61,-56,-63,-63,-65
2,2,3,-52,-61,-54,-61,-61,-64
2,2,4,-53,-62,-55,-62,-62,-65
10,10,0,-68,-65,-66,-65,-59,-27
10,10,1,-68,-65,-66,-65,-59,-25
10,10,2,-69,-66,-67,-66,-60,-26
10,10,3,-70,-67,-68,-67,-61,-27
10,10,4,-67,-64,-65,-64,-58,-24
10,0,0,-68,-71,-62,-28,-69,-68
10,0,1,-65,-68,-59,-25,-66,-65
10,0,2,-60,-63,-54,-20,-61,-62
10,0,3,-68,-71,-62,-28,-69,-68
10,0,4,-63,-66,-58,-23,-64,-63
0,2,0,-55,-67,-63,-69,-68,-71
0,2,1,-50,-62,-58,-64,-63,-66
0,2,2,-53,-64,-61,-67,-66,-69
0,2,3,-52,-64,-61,-66,-66,-68
0,2,4,-47,-59,-56,-61,-60,-63
8,2,0,-62,-64,-55,-52,-62,-62
8,2,1,-68,-70,-61,-58,-68,-69
8,2,2,-64,-67,-57,-55,-64,-64
8,2,3,-70,-72,-63,-60,-70,-70
8,2,4,-65,-67,-58,-56,-65,-65
4,6,0,-63,-61,-62,-65,-59,-63
4,6,1,-62,-60,-60,-63,-57,-62
4,6,2,-63,-61,-62,-65,-59,-63
4,6,3,-62,-65,-61,-63,-57,-62
4,6,4,-63,-61,-61,-64,-58,-63
0,8,0,-63,-51,-64,-67,-59,-65
0,8,1,-60,-49,-62,-66,-57,-63
0,8,2,-60,-47,-67,-64,-58,-64
0,8,3,-59,-48,-61,-63,-56,-62
0,8,4,-64,-53,-66,-68,-61,-66
6,4,0,-63,-64,-58,-62,-62,-65
6,4,1,-61,-63,-56,-59,-60,-61
6,4,2,-65,-64,-58,-61,-61,-63
6,4,3,-63,-65,-59,-61,-62,-63
6,4,4,-64,-65,-59,-62,-62,-64
0,10,0,-69,-19,-60,-62,-53,-59
0,10,1,-64,-24,-65,-67,-58,-64
0,10,2,-67,-25,-69,-70,-61,-67
0,10,3,-65,-25,-66,-68,-59,-65
0,10,4,-65,-25,-66,-68,-59,-65
2,8,0,-61,-52,-61,-63,-54,-61
2,8,1,-59,-53,-59,-62,-55,-59
2,8,2,-63,-54,-64,-66,-56,-63
2,8,3,-67,-58,-67,-69,-60,-67
2,8,4,-65,-56,-65,-68,-58,-65
2,0,0,-55,-69,-58,-67,-69,-71
2,0,1,-51,-65,-55,-63,-66,-67
2,0,2,-50,-64,-53,-62,-64,-66
2,0,3,-50,-64,-54,-64,-64,-66
2,0,4,-57,-71,-60,-69,-71,-73
4,2,0,-60,-66,-54,-63,-65,-67
4,2,1,-60,-66,-54,-63,-65,-67
4,2,2,-63,-69,-58,-66,-68,-70
4,2,3,-58,-64,-53,-61,-63,-65
4,2,4,-59,-65,-53,-62,-64,-66
8,6,0,-62,-61,-59,-58,-56,-55
8,6,1,-66,-65,-62,-62,-60,-59
8,6,2,-68,-67,-65,-64,-62,-61
8,6,3,-59,-58,-55,-55,-53,-52
8,6,4,-65,-64,-62,-61,-49,-59
10,2,0,-63,-65,-58,-49,-62,-61
10,2,1,-61,-63,-56,-48,-65,-59
10,2,2,-63,-65,-57,-49,-63,-61
10,2,3,-69,-71,-63,-55,-68,-67
10,2,4,-63,-65,-58,-50,-63,-61
10,4,0,-66,-67,-62,-58,-64,-61
10,4,1,-67,-69,-63,-59,-64,-62
10,4,2,-65,-65,-60,-56,-64,-60
10,4,3,-65,-66,-61,-57,-62,-60
10,4,4,-71,-71,-66,-62,-68,-66
10,8,0,-66,-64,-63,-62,-58,-50
10,8,1,-64,-62,-62,-60,-57,-48
10,8,2,-60,-58,-57,-56,-53,-44
10,8,3,-66,-64,-63,-62,-58,-50
10,8,4,-69,-67,-66,-65,-61,-53
6,6,0,-64,-62,-61,-62,-57,-60
6,6,1,-65,-64,-62,-64,-59,-62
6,6,2,-63,-61,-60,-61,-57,-59
6,6,3,-64,-62,-61,-62,-57,-60
6,6,4,-63,-61,-60,-61,-57,-59
0,0,0,-27,-67,-61,-67,-68,-70
0,0,1,-30,-70,-65,-71,-71,-73
0,0,2,-29,-68,-63,-68,-69,-72
0,0,3,-25,-65,-59,-65,-66,-68
0,0,4,-23,-63,-57,-63,-64,-66
8,4,0,-59,-61,-54,-55,-57,-56
8,4,1,-66,-67,-61,-60,-63,-63
8,4,2,-64,-65,-59,-58,-61,-61
8,4,3,-65,-66,-60,-59,-62,-62
8,4,4,-63,-64,-58,-57,-60,-60
